modified_id,class_cde,crs_cde,crs_title,parent_crs_cde,parent_crs_dept,crs_status,M,T,W,R,F,begin_time,end_time
11282,7,MLS 517 01,The First Amendment,MLS 517 01,MLS,C,,T,,,,18:00:00,20:50:00
11631,4,SOAN 200 01,Chicago Parks,SOAN 200 01,SOAN,C,,T,,R,,09:30:00,10:50:00
11631,4,CSCI 325 01,Artificial Intelligence,CSCI 325 01,CSCI,C,M,,W,,F,11:00:00,11:50:00
11333,4,BUSN 357 01,Marketing Strategy,BUSN 357 01,BUSN,C,,T,,R,,13:00:00,14:20:00
11679,55,MUSC 150 01,Fundamentals of Music,MUSC 150 01,MUSC,C,M,T,W,R,F,11:00:00,11:50:00
11679,55,COLL 210 01,Intergroup Dialog Facilitator Train,COLL 210 01,COLL,C,,,W,,F,14:30:00,15:50:00
11679,55,ENGL 111 01,Intro to Prof Writing,ENGL 111 01,ENGL,W,M,,W,,F,08:00:00,08:50:00
11679,55,COLL 151 01,Fund Quantitative Problem Solving,COLL 151 01,COLL,C,,T,,R,,11:00:00,12:20:00
11549,4,CINE 200 01,Film Editing,CINE 200 01,CINE,C,M,,W,,,14:30:00,15:50:00
11549,4,ART 480 01,Senior Seminar in Studio Art,ART 480 01,ART,C,,T,,R,,13:00:00,14:50:00
10080,4,COMM 485 01,Advertising and Consumer Culture,COMM 485 01,COMM,C,M,,W,,,13:00:00,14:20:00
10080,4,COMM 290 01,Communication Inquiry,COMM 290 01,COMM,C,,T,,R,,13:00:00,14:20:00
10080,4,COMM 370 01,Feminism and Pop Culture,COMM 370 01,COMM,C,M,,W,,,14:30:00,15:50:00
10983,4,SPAN 212 01,Advanced Intermediate Spanish,SPAN 212 01,SPAN,C,M,,W,R,,11:00:00,11:50:00
10983,4,PHIL 208 01,Death,PHIL 208 01,PHIL,C,,T,,R,,09:30:00,10:50:00
10983,4,CSCI 323 01,Cryptography,MATH 323 01,MATH,C,M,,W,,,13:00:00,14:20:00
10983,4,CSCI 250 02,Programming for Data Applications,CSCI 250 02,CSCI,W,M,,W,,F,08:00:00,08:50:00
10983,4,CINE 215 01,Philosophy of Miyazaki,PHIL 215 01,PHIL,W,M,,W,,,14:30:00,15:50:00
10090,4,LOOP 202 01,21st Cent. Professional Develop.,LOOP 202 01,LOOP,C,M,,,,,18:30:00,21:20:00
10090,4,ASIA 312 01,Chinese Oral & Written Proficiency,CHIN 312 01,CHIN,C,,,W,R,,07:40:00,08:30:00
10090,4,ART 480 01,Senior Seminar in Studio Art,ART 480 01,ART,C,,T,,R,,13:00:00,14:50:00
10090,4,ART 333 01,Advanced Sculpture,ART 333 01,ART,C,M,,W,,,09:30:00,11:50:00
10395,50,SPAN 260 01,Spanish for Heritage Speakers,SPAN 260 01,SPAN,C,M,,W,,F,10:00:00,10:50:00
10395,50,COLL 150 01,Data Analytics using Excel,COLL 150 01,COLL,C,,,,,,,
10395,50,MATH 160 01,Math Methods with Applications,MATH 160 01,MATH,C,,T,,R,,09:30:00,10:50:00
10395,50,ENTP 110 01,Design Thinking & Problem Solving,ENTP 110 01,ENTP,C,M,,W,,,13:00:00,14:20:00
10395,50,POLS 120 02,Introduction to American Politics,POLS 120 02,POLS,C,,T,,R,,13:00:00,14:20:00
10417,50,NEUR 302X 01,Brain to Behavior Lab,NEUR 302X 01,NEUR,C,,T,,,,14:00:00,15:50:00
10417,50,NEUR 302L 01,Neuroscience: Brain to Behavior,NEUR 302L 01,NEUR,C,,T,,R,,08:00:00,09:20:00
11741,3,CHEM 220L 01,Organic Chemistry I,CHEM 220L 01,CHEM,C,M,,W,,F,10:00:00,10:50:00
11741,3,BIOL 384X 01,Plant Biology Lab,BIOL 384X 01,BIOL,C,,,W,,,12:00:00,15:50:00
11741,3,BIOL 384L 01,Plant Biology,BIOL 384L 01,BIOL,C,M,,W,,F,11:00:00,11:50:00
11741,3,CHEM 220X 05,Organic Chemistry I Lab,CHEM 220X 05,CHEM,C,M,,,,,12:00:00,15:50:00
10848,4,BMB 323L 01,Microbiology,BIOL 323L 01,BIOL,W,,T,,R,,08:00:00,09:20:00
10848,4,BMB 323X 01,Microbiology Lab,BIOL 323X 01,BIOL,W,,T,,,,12:00:00,15:50:00
10848,4,CHEM 300L 01,Biochemistry,CHEM 300L 01,CHEM,W,M,,W,,F,09:00:00,09:50:00
10848,4,CHEM 300X 02,Biochemistry Lab,CHEM 300X 02,CHEM,W,,,W,,,12:00:00,15:50:00
10848,4,ART 131 01,Studio Art: Drawing,ART 131 01,ART,W,,T,,R,,10:00:00,11:50:00
10848,4,PHYS 110L 01,Introductory Physics I,PHYS 110L 01,PHYS,C,M,,W,,F,08:00:00,08:50:00
10848,4,PHYS 114X 05,Physics I Lab,PHYS 114X 05,PHYS,C,,,,,F,12:00:00,15:50:00
10768,4,ASIA 493 01,Research Project,ASIA 493 01,ASIA,C,,,,,,,
10768,4,POLS 351 01,Justice and the Law,POLS 351 01,POLS,C,,T,,R,,14:30:00,15:50:00
10768,4,ASIA 305 01,South Asian Philosophy,PHIL 305 01,PHIL,C,M,,W,,,13:00:00,14:20:00
10768,4,RELG 160 01,Introduction to Asian Religions,RELG 160 01,RELG,C,M,,W,,,14:30:00,15:50:00
11203,3,PHIL 156 01,Logic and Styles of Arguments,PHIL 156 01,PHIL,W,,T,,R,,13:00:00,14:20:00
11203,3,PHIL 156 02,Logic and Styles of Arguments,PHIL 156 02,PHIL,W,,T,,R,,14:30:00,15:50:00
11203,3,PSYC 222L 02,Research Methods & Statistics II,PSYC 222L 02,PSYC,C,,T,,R,,08:00:00,09:20:00
11203,3,PSYC 222L 02,Research Methods & Statistics II,PSYC 222L 02,PSYC,C,,,W,,,12:00:00,13:50:00
11203,3,MUSC 109 01,West African Drumming Ensemble,MUSC 109 01,MUSC,C,,T,,,,19:00:00,20:50:00
11203,3,MUSC 107 01,Concert Band,MUSC 107 01,MUSC,C,M,,,R,,16:00:00,17:50:00
11203,3,POLS 351 01,Justice and the Law,POLS 351 01,POLS,W,,T,,R,,14:30:00,15:50:00
11203,3,POLS 260 01,Introduction to Legal Studies,POLS 260 01,POLS,W,,T,,R,,08:00:00,09:20:00
11203,3,PSYC 330 01,Motivation & Emotion,PSYC 330 01,PSYC,W,M,,W,,F,09:00:00,09:50:00
11203,3,PSYC 221L 01,Research Methods & Statistics I,PSYC 221L 01,PSYC,W,M,,W,,F,08:00:00,08:50:00
11203,3,PSYC 221L 01,Research Methods & Statistics I,PSYC 221L 01,PSYC,W,M,,,,,12:00:00,13:50:00
11203,3,PSYC 250 01,Community Psychology,PSYC 250 01,PSYC,W,,T,,R,,14:30:00,15:50:00
10773,4,ARTH 338 01,Contemporary Exhibition Practices,ARTH 338 01,ARTH,C,,,,,F,13:00:00,15:50:00
10773,4,ENGL 211 01,From Fairyland to Flying Islands,ENGL 211 01,ENGL,C,M,,W,,,14:30:00,15:50:00
10773,4,ENGL 450 01,Theory of Literature,ENGL 450 01,ENGL,C,,T,,R,,14:30:00,15:50:00
10773,4,ART 131 01,Studio Art: Drawing,ART 131 01,ART,C,,T,,R,,10:00:00,11:50:00
10443,4,NEUR 302L 01,Neuroscience: Brain to Behavior,NEUR 302L 01,NEUR,W,,T,,R,,08:00:00,09:20:00
10443,4,NEUR 302X 02,Brain to Behavior Lab,NEUR 302X 02,NEUR,W,,,,R,,14:00:00,15:50:00
10443,4,NEUR 478 01,Animal Survial Extreme Habitats,BIOL 478 01,BIOL,W,M,,W,,,13:00:00,14:20:00
11275,4,ART 480 01,Senior Seminar in Studio Art,ART 480 01,ART,C,,T,,R,,13:00:00,14:50:00
11275,4,ARTH 338 01,Contemporary Exhibition Practices,ARTH 338 01,ARTH,C,,,,,F,13:00:00,15:50:00
11275,4,ENGL 243 01,Writing Literary Horror,ENGL 243 01,ENGL,C,M,,W,,F,09:00:00,09:50:00
11126,6,EDUC 516L 01,"Elem & Mid Schl-Lit,Soc Stud, Sci",EDUC 516L 01,EDUC,C,,T,,,,16:00:00,18:50:00
11126,6,EDUC 517 01,Elem & Mid School Math,EDUC 517 01,EDUC,C,M,,W,,,14:30:00,15:50:00
11126,6,EDUC 524X 01,Seminar on Advanced Themes,EDUC 524X 01,EDUC,C,,,,R,,11:00:00,13:00:00
10990,3,HIST 200 01,"Empire, Slavery, Freedom: Early US",HIST 200 01,HIST,C,M,,W,,,13:00:00,14:20:00
10990,3,BIOL 112 01,Learning About Our World,BIOL 112 01,BIOL,C,,T,,R,,19:00:00,20:20:00
10990,3,BIOL 120L 01,Organismal Biology,BIOL 120L 01,BIOL,C,M,,W,,F,09:00:00,09:50:00
10990,3,BIOL 120X 01,Organismal Biology Lab,BIOL 120X 01,BIOL,C,,T,,,,12:00:00,15:50:00
10990,3,PHYS 114X 05,Physics I Lab,PHYS 114X 05,PHYS,C,,,,,F,12:00:00,15:50:00
10990,3,PHYS 120L 01,General Physics I,PHYS 120L 01,PHYS,C,M,,W,,F,10:00:00,10:50:00
10270,3,ENGL 450 01,Theory of Literature,ENGL 450 01,ENGL,C,,T,,R,,14:30:00,15:50:00
10270,3,ENGL 211 01,From Fairyland to Flying Islands,ENGL 211 01,ENGL,C,M,,W,,,14:30:00,15:50:00
10270,3,ENGL 212 01,"Romantics, Rebels, and Bohemians",ENGL 212 01,ENGL,C,,T,,R,,13:00:00,14:20:00
11656,6,EDUC 520 02,Disc Spec Mthds Teach Adols,EDUC 520 02,EDUC,C,,T,,,,16:00:00,18:50:00
11656,6,EDUC 519L 01,Adolescent Curr and Instruct,EDUC 519L 01,EDUC,C,M,,W,,,14:30:00,15:50:00
11656,6,EDUC 548 01,ADV. SEM.: ESL/Bilingual Education,EDUC 548 01,EDUC,C,M,,,,,16:00:00,18:50:00
11656,6,EDUC 524X 01,Seminar on Advanced Themes,EDUC 524X 01,EDUC,C,,,,R,,11:00:00,13:00:00
10203,6,EDUC 517 01,Elem & Mid School Math,EDUC 517 01,EDUC,C,M,,W,,,14:30:00,15:50:00
10203,6,EDUC 524X 01,Seminar on Advanced Themes,EDUC 524X 01,EDUC,C,,,,R,,11:00:00,13:00:00
10203,6,EDUC 506 01,Subsequent Teaching Endorsement,EDUC 506 01,EDUC,C,,,W,,,16:00:00,18:50:00
10203,6,EDUC 548 01,ADV. SEM.: ESL/Bilingual Education,EDUC 548 01,EDUC,C,M,,,,,16:00:00,18:50:00
10203,6,EDUC 516L 01,"Elem & Mid Schl-Lit,Soc Stud, Sci",EDUC 516L 01,EDUC,C,,T,,,,16:00:00,18:50:00
11074,4,MATH 250 01,Intro to Statistical Programming,MATH 250 01,MATH,C,M,,W,,F,10:00:00,10:50:00
11074,4,CSCI 325 01,Artificial Intelligence,CSCI 325 01,CSCI,C,M,,W,,F,11:00:00,11:50:00
10239,6,EDUC 519L 01,Adolescent Curr and Instruct,EDUC 519L 01,EDUC,C,M,,W,,,14:30:00,15:50:00
10239,6,EDUC 548 01,ADV. SEM.: ESL/Bilingual Education,EDUC 548 01,EDUC,C,M,,,,,16:00:00,18:50:00
10239,6,EDUC 524X 01,Seminar on Advanced Themes,EDUC 524X 01,EDUC,C,,,,R,,11:00:00,13:00:00
10239,6,EDUC 520 02,Disc Spec Mthds Teach Adols,EDUC 520 02,EDUC,C,,T,,,,16:00:00,18:50:00
10596,3,ART 253 01,Graphic and Digital Design,ART 253 01,ART,W,,T,,R,,13:00:00,15:20:00
10596,3,ECON 330 01,Econometrics,ECON 330 01,ECON,C,M,,W,,,14:30:00,15:50:00
10596,3,ECON 483 01,Behavioral Economics and Finance,ECON 483 01,ECON,W,M,,W,,F,11:00:00,11:50:00
10596,3,BUSN 465 01,"Poverty, Inequality, Discrimination",ECON 465 01,ECON,C,M,,W,,F,10:00:00,10:50:00
10344,6,EDUC 516L 01,"Elem & Mid Schl-Lit,Soc Stud, Sci",EDUC 516L 01,EDUC,C,,T,,,,16:00:00,18:50:00
10344,6,EDUC 517 01,Elem & Mid School Math,EDUC 517 01,EDUC,C,M,,W,,,14:30:00,15:50:00
10344,6,EDUC 524X 01,Seminar on Advanced Themes,EDUC 524X 01,EDUC,C,,,,R,,11:00:00,13:00:00
10344,6,EDUC 506 01,Subsequent Teaching Endorsement,EDUC 506 01,EDUC,C,,,W,,,16:00:00,18:50:00
10765,3,PHIL 203 01,Business & Professional Ethics,PHIL 203 01,PHIL,C,M,,W,,,14:30:00,15:50:00
10765,3,ENGL 210 02,"Gods, Monsters, & Questing Humanity",ENGL 210 02,ENGL,C,M,,W,,F,11:00:00,11:50:00
10765,3,POLS 487 01,"Money, Inequality and Power",POLS 487 01,POLS,C,M,,W,,,13:00:00,14:20:00
10765,3,ENGL 317 01,Social & Environ Justice in Dickens,ENGL 317 01,ENGL,C,M,,W,,F,10:00:00,10:50:00
10923,3,SOAN 316 01,Colonialisms and Resistance,SOAN 316 01,SOAN,C,M,,W,,,14:30:00,15:50:00
10923,3,LNAM 180 01,Intro to Latin American and Latinx,LNAM 180 01,LNAM,C,M,,W,,,13:00:00,14:20:00
10923,3,SOAN 200 01,Chicago Parks,SOAN 200 01,SOAN,C,,T,,R,,09:30:00,10:50:00
10923,3,COLL 151 01,Fund Quantitative Problem Solving,COLL 151 01,COLL,C,,T,,R,,11:00:00,12:20:00
10923,3,MATH 150 01,Intro Probability & Statistics,MATH 150 01,MATH,C,M,,W,,F,09:00:00,09:50:00
10817,4,CHEM 115L 01,Chemistry I,CHEM 115L 01,CHEM,C,M,,W,,F,09:00:00,09:50:00
10817,4,CHEM 115X 01,Chemistry I Lab,CHEM 115X 01,CHEM,C,,,,,F,12:00:00,15:50:00
11165,3,SOAN 206 01,Introduction to Disability Studies,SOAN 206 01,SOAN,C,M,,W,,F,09:00:00,09:50:00
11165,3,PHIL 208 01,Death,PHIL 208 01,PHIL,C,,T,,R,,09:30:00,10:50:00
11165,3,RELG 202 01,The Bible as Literature,ENGL 202 01,ENGL,C,M,,W,,,13:00:00,14:20:00
11165,3,PSYC 255 01,Social Psychology,PSYC 255 01,PSYC,C,M,,W,,F,10:00:00,10:50:00
11511,4,ART 233 01,Sculpture,ART 233 01,ART,C,M,,W,,,09:30:00,11:50:00
11511,4,PSYC 465 01,"Drugs, Substance Use, and Addiction",PSYC 465 01,PSYC,C,M,,W,,,14:30:00,15:50:00
11511,4,PHIL 493 01,Research Project,PHIL 493 01,PHIL,C,,,,,,,
11703,4,BUSN 330 01,Intermediate Accounting,BUSN 330 01,BUSN,C,M,,W,,F,08:00:00,08:50:00
11703,4,FIN 250 01,Business Information Systems,BUSN 250 01,BUSN,C,M,,W,,F,10:00:00,10:50:00
11703,4,FIN 485 01,Quantitative Finance,FIN 485 01,FIN,W,M,,W,,F,09:00:00,09:50:00
11703,4,FIN 330 01,Financial Modeling,FIN 330 01,FIN,C,M,,W,,,13:00:00,14:20:00
11703,4,FIN 465 01,Applied Investment Management,FIN 465 01,FIN,C,,T,,R,,09:30:00,10:50:00
11556,4,POLS 487 01,"Money, Inequality and Power",POLS 487 01,POLS,C,M,,W,,,13:00:00,14:20:00
11556,4,PHIL 203 01,Business & Professional Ethics,PHIL 203 01,PHIL,C,M,,W,,,14:30:00,15:50:00
11556,4,ECON 110 02,Principles of Economics,ECON 110 02,ECON,C,M,,W,,F,09:00:00,09:50:00
10383,4,SOAN 372 01,Queer Theory,SOAN 372 01,SOAN,C,,T,,R,,13:00:00,14:20:00
10383,4,PSYC 210 01,Developmental Psychology,PSYC 210 01,PSYC,C,,T,,R,,09:30:00,10:50:00
10383,4,PSYC 360 01,Cognitive Psychology,PSYC 360 01,PSYC,C,M,,W,,F,08:00:00,08:50:00
10383,4,NEUR 232 01,Stories from the Spectrum,ENGL 232 01,ENGL,C,M,,W,,F,10:00:00,10:50:00
10964,4,FIN 485 01,Quantitative Finance,FIN 485 01,FIN,C,M,,W,,F,09:00:00,09:50:00
10964,4,COMM 212 01,Visual Rhetoric,COMM 212 01,COMM,C,M,,W,,F,10:00:00,10:50:00
10964,4,ENTP 370 01,New Venture Design,ENTP 370 01,ENTP,C,,T,,R,,09:30:00,10:50:00
10964,4,CSCI 250 02,Programming for Data Applications,CSCI 250 02,CSCI,C,M,,W,,F,08:00:00,08:50:00
11235,3,NEUR 302L 01,Neuroscience: Brain to Behavior,NEUR 302L 01,NEUR,C,,T,,R,,08:00:00,09:20:00
11235,3,PSYC 222L 01,Research Methods & Statistics II,PSYC 222L 01,PSYC,C,,T,,R,,09:30:00,10:50:00
11235,3,PSYC 222L 01,Research Methods & Statistics II,PSYC 222L 01,PSYC,C,,,W,,,14:00:00,15:50:00
11235,3,NEUR 302X 02,Brain to Behavior Lab,NEUR 302X 02,NEUR,C,,,,R,,14:00:00,15:50:00
11235,3,PSYC 255 01,Social Psychology,PSYC 255 01,PSYC,C,M,,W,,F,10:00:00,10:50:00
11235,3,ART 142 01,Digital Design Foundations,ART 142 01,ART,C,M,,W,,,08:00:00,09:50:00
10450,3,POLS 200 01,Methods of Political Research,POLS 200 01,POLS,C,,T,,R,,14:30:00,15:50:00
10450,3,POLS 317 01,Global Democratization,POLS 317 01,POLS,C,,,W,,,19:00:00,21:50:00
10450,3,POLS 487 01,"Money, Inequality and Power",POLS 487 01,POLS,C,M,,W,,,13:00:00,14:20:00
10450,3,ECON 255 01,Economic Analysis of Public Policy,ECON 255 01,ECON,C,M,,W,,F,11:00:00,11:50:00
10715,4,MATH 250 01,Intro to Statistical Programming,MATH 250 01,MATH,C,M,,W,,F,10:00:00,10:50:00
10715,4,CSCI 250 01,Programming for Data Applications,CSCI 250 01,CSCI,C,,T,,R,,09:30:00,10:50:00
10715,4,RELG 160 01,Introduction to Asian Religions,RELG 160 01,RELG,C,M,,W,,,14:30:00,15:50:00
10715,4,FREN 110 01,Beginning French I,FREN 110 01,FREN,C,M,,W,R,,11:00:00,11:50:00
10198,4,PHIL 208 01,Death,PHIL 208 01,PHIL,C,,T,,R,,09:30:00,10:50:00
10198,4,ARTH 338 01,Contemporary Exhibition Practices,ARTH 338 01,ARTH,C,,,,,F,13:00:00,15:50:00
10198,4,ARTH 219 01,American Art,ARTH 219 01,ARTH,C,,T,,R,,13:00:00,14:20:00
11668,4,ECON 313 01,Money & Banking,ECON 313 01,ECON,C,M,,W,,,13:00:00,14:20:00
11668,4,FIN 310 01,Corporate Finance,FIN 310 01,FIN,C,M,,W,,F,10:00:00,10:50:00
11668,4,PSYC 465 01,"Drugs, Substance Use, and Addiction",PSYC 465 01,PSYC,C,M,,W,,,14:30:00,15:50:00
11616,4,FIN 330 01,Financial Modeling,FIN 330 01,FIN,C,M,,W,,,13:00:00,14:20:00
11616,4,FIN 483 01,Behavioral Economics and Finance,ECON 483 01,ECON,C,M,,W,,F,11:00:00,11:50:00
11616,4,ECON 330 02,Econometrics,ECON 330 02,ECON,C,,T,,R,,09:30:00,10:50:00
11616,4,FIN 320 01,Investments,FIN 320 01,FIN,C,,T,,R,,08:00:00,09:20:00
11428,4,ECON 220 01,Macroeconomic Theory,ECON 220 01,ECON,C,,T,,R,,13:00:00,14:20:00
11428,4,THTR 160 01,Stagecraft for Stage and Screen,THTR 160 01,THTR,C,,T,,R,,09:30:00,10:50:00
11441,3,RELG 215 01,Buddhist Paths to Nirvana,RELG 215 01,RELG,C,,T,,R,,19:00:00,20:20:00
11441,3,RELG 355 01,Exhibiting Religion in the Museum,RELG 355 01,RELG,C,M,,W,,,14:30:00,15:50:00
11441,3,THTR 200 01,Production Practicum,THTR 200 01,THTR,C,,,,,,,
11555,4,ES 215 01,Environmental Psychology,PSYC 215 01,PSYC,C,,T,,,,12:00:00,15:50:00
11555,4,ES 381L 01,Lake Forestry,ES 381L 01,ES,C,,,W,,,12:00:00,15:50:00
11555,4,POLS 269 01,Testimony and Trials,POLS 269 01,POLS,C,,T,,R,,09:30:00,10:50:00
11555,4,ES 220L 01,"Evolution, Ecology, and Environment",ES 220L 01,ES,C,M,,W,,F,09:00:00,09:50:00
11555,4,ES 220X 01,Evolution/Ecology/Environment Lab,ES 220X 01,ES,C,M,,,,,12:00:00,15:50:00
11226,4,FREN 210 01,Interm French I: Cultural Emphasis,FREN 210 01,FREN,C,M,,W,R,,11:00:00,11:50:00
11226,4,IREL 245 01,Global IR Theory,POLS 245 01,POLS,W,M,,W,,,13:00:00,14:20:00
10208,4,ECON 313 01,Money & Banking,ECON 313 01,ECON,C,M,,W,,,13:00:00,14:20:00
10208,4,CSCI 107 01,Introduction to Web Programming,CSCI 107 01,CSCI,C,M,,W,,F,11:00:00,11:50:00
10208,4,CSCI 327 01,Introduction to Database Systems,CSCI 327 01,CSCI,C,,T,,R,,13:00:00,14:20:00
10925,3,ENGL 112 01,Intro to Editing and Publishing,ENGL 112 01,ENGL,W,M,,W,,F,10:00:00,10:50:00
10925,3,PSYC 110L 02,Intro to Psychological Science,PSYC 110L 02,PSYC,C,M,,W,,F,11:00:00,11:50:00
10925,3,PSYC 110X 06,Intro to Psychological Science Lab,PSYC 110X 06,PSYC,C,,,,R,,12:00:00,13:50:00
10925,3,ENGL 243 01,Writing Literary Horror,ENGL 243 01,ENGL,W,M,,W,,F,09:00:00,09:50:00
10925,3,ENGL 360 01,Fiction Writing,ENGL 360 01,ENGL,C,,T,,R,,14:30:00,15:50:00
10925,3,PHIL 208 01,Death,PHIL 208 01,PHIL,C,,T,,R,,09:30:00,10:50:00
10925,3,ASIA 160 01,Introduction to Asian Religions,RELG 160 01,RELG,C,M,,W,,,14:30:00,15:50:00
11621,4,CINE 201 01,Narrative Filmmaking,CINE 201 01,CINE,C,M,,W,,,13:00:00,14:20:00
11621,4,RELG 256 01,"Religion, SciFi, AI, and Non-Human",RELG 256 01,RELG,C,,T,,R,,13:00:00,14:20:00
11621,4,ARTH 338 01,Contemporary Exhibition Practices,ARTH 338 01,ARTH,C,,,,,F,13:00:00,15:50:00
10772,4,CSCI 250 02,Programming for Data Applications,CSCI 250 02,CSCI,C,M,,W,,F,08:00:00,08:50:00
10772,4,BIOL 372 01,"Pharmacology: Drug, Brain, Behavior",NEUR 372 01,NEUR,C,M,,,,,19:00:00,21:50:00
10772,4,BIOL 387L 01,Investigations in Neurodegeneration,NEUR 387L 01,NEUR,C,,T,,R,,09:30:00,10:50:00
10772,4,BIOL 387X 01,Investig in Neurodegeneration Lab,NEUR 387X 01,NEUR,C,,,W,,,12:00:00,15:50:00
11493,4,HIST 420 01,"China, Japan and the West",HIST 420 01,HIST,C,,T,,,,19:00:00,21:50:00
11493,4,ARTH 200 01,New Media Art and Design,ARTH 200 01,ARTH,C,M,,W,,F,09:00:00,09:50:00
11493,4,ENGL 210 02,"Gods, Monsters, & Questing Humanity",ENGL 210 02,ENGL,C,M,,W,,F,11:00:00,11:50:00
11493,4,HIST 319 01,Protest and Police in U.S. History,HIST 319 01,HIST,C,M,,W,,,14:30:00,15:50:00
10457,4,BIOL 485 01,Sr Sem: The Nobel Prizes,BIOL 485 01,BIOL,C,,,,,F,13:00:00,15:50:00
10457,4,BIOL 323L 01,Microbiology,BIOL 323L 01,BIOL,C,,T,,R,,08:00:00,09:20:00
10457,4,HPPC 209L 01,Human Physiology,BIOL 209L 01,BIOL,C,M,,W,,F,11:00:00,11:50:00
10457,4,HPPC 209X 01,Human Physiology Lab,BIOL 209X 01,BIOL,C,M,,,,,12:00:00,13:50:00
10457,4,BIOL 323X 01,Microbiology Lab,BIOL 323X 01,BIOL,C,,T,,,,12:00:00,15:50:00
10457,4,BMB 300X 03,Biochemistry Lab,CHEM 300X 03,CHEM,C,,,,R,,12:00:00,15:50:00
10457,4,BMB 300L 01,Biochemistry,CHEM 300L 01,CHEM,C,M,,W,,F,09:00:00,09:50:00
10704,4,ENGL 210 02,"Gods, Monsters, & Questing Humanity",ENGL 210 02,ENGL,C,M,,W,,F,11:00:00,11:50:00
10704,4,BIOL 315 01,Topics in Ecology and Evolution,BIOL 315 01,BIOL,C,M,,W,,F,10:00:00,10:50:00
10704,4,BIOL 478 01,Sr Sem: Animal Survival,BIOL 478 01,BIOL,C,M,,W,,,13:00:00,14:20:00
10516,4,ENTP 250 01,Small Bus Leadership & Management,ENTP 250 01,ENTP,C,,T,,R,,13:00:00,14:20:00
10516,4,BIOL 478 01,Sr Sem: Animal Survival,BIOL 478 01,BIOL,C,M,,W,,,13:00:00,14:20:00
10516,4,BIOL 372 01,"Pharmacology: Drug, Brain, Behavior",NEUR 372 01,NEUR,C,M,,,,,19:00:00,21:50:00
11298,12,HIST 200 01,"Empire, Slavery, Freedom: Early US",HIST 200 01,HIST,C,M,,W,,,13:00:00,14:20:00
10843,4,BUSN 460 01,Brand Management and Positioning,BUSN 460 01,BUSN,C,M,,W,,,13:00:00,14:20:00
10843,4,GSWS 110 01,Intro to Women's/Gender Studies,GSWS 110 01,GSWS,C,M,,W,,F,09:00:00,09:50:00
10843,4,ART 253 01,Graphic and Digital Design,ART 253 01,ART,C,,T,,R,,13:00:00,15:20:00
10843,4,COMM 287 01,Media Systems and Institutions,COMM 287 01,COMM,C,,T,,R,,09:30:00,10:50:00
11609,4,BUSN 345 01,Organizational Behavior,BUSN 345 01,BUSN,C,,T,,R,,09:30:00,10:50:00
